service_side,start_frame,end_frame,AleD_RonP_score,RomT_AleS_score,AleD_RonP_sets,RomT_AleS_sets,point_index
match start - service RomT_AleS,12,254,0,0,0,0,001
service RomT_AleS,614,1050,0,1,0,0,002
service RomT_AleS,1490,1728,0,2,0,0,003
service RomT_AleS,2076,2325,0,3,0,0,004
service AleD_RonP,2895,3272,1,3,0,0,005
service RomT_AleS,3750,4042,1,4,0,0,006
service RomT_AleS,4343,4509,1,5,0,0,007
*SWITCH*,4533,4620,1,5,0,0,999
service AleD_RonP,4975,5233,2,5,0,0,008
service RomT_AleS,5868,6370,2,6,0,0,009
Timeout,6658,6807,2,6,0,0,999
service RomT_AleS,8686,9209,2,7,0,0,010
service AleD_RonP,10228,11163,3,7,0,0,011
service AleD_RonP,11971,12109,4,7,0,0,012
service RomT_AleS,12472,12719,4,8,0,0,013
service AleD_RonP,13137,13710,5,8,0,0,014
*SWITCH*,13932,14069,5,8,0,0,999
service RomT_AleS,14328,14525,5,9,0,0,015
service AleD_RonP,14887,15130,6,9,0,0,016
service AleD_RonP,15645,15908,7,9,0,0,017
service AleD_RonP,16248,16478,8,9,0,0,018
service RomT_AleS,16894,17086,8,10,0,0,019
service RomT_AleS,17374,17916,8,11,0,0,020
service AleD_RonP,18518,18894,9,11,0,0,021
*SWITCH*,19268,19327,9,11,0,0,999
service AleD_RonP,19651,19989,10,11,0,0,022
service AleD_RonP,20337,20679,11,11,0,0,023
service RomT_AleS,21074,21498,11,12,0,0,024
service RomT_AleS,21891,22111,11,13,0,0,025
service AleD_RonP,22521,22742,12,13,0,0,026
service RomT_AleS,23051,23241,12,14,0,0,027
service RomT_AleS,23549,23762,12,15,0,0,028
*SWITCH*,23909,24005,12,15,0,0,999
service RomT_AleS,24368,24684,12,16,0,0,029
service RomT_AleS,25279,25505,12,17,0,0,030
service AleD_RonP,25973,26503,13,17,0,0,031
service AleD_RonP,26830,27179,14,17,0,0,032
service RomT_AleS,27789,28168,14,18,0,0,033
service AleD_RonP,28552,29017,15,18,0,0,034
service AleD_RonP,29424,29657,16,18,0,0,035
*SWITCH*,29855,29965,16,18,0,0,999
service RomT_AleS,30118,30548,16,19,0,0,036
service RomT_AleS,30960,31351,16,20,0,0,037
service AleD_RonP,31689,32069,17,20,0,0,038
end of set,0,0,17,21,0,1,999
