service_side,start_frame,end_frame,AleD_RonP_score,DavC_AndP_score,AleD_RonP_sets,DavC_AndP_sets,point_index
match start - service DavC_AndP,39,257,0,0,0,0,001
service AleD_RonP,732,1179,1,0,0,0,002
service DavC_AndP,1696,2038,1,1,0,0,003
service DavC_AndP,2411,2680,1,2,0,0,004
service AleD_RonP,3195,3760,2,2,0,0,005
service AleD_RonP,4177,4507,3,2,0,0,006
service AleD_RonP,4889,5172,4,2,0,0,007
*SWITCH*,5367,5420,4,2,0,0,999
service AleD_RonP,5895,6597,5,2,0,0,008
service DavC_AndP,7019,7239,5,3,0,0,009
service AleD_RonP,7827,8153,6,3,0,0,010
service AleD_RonP,8703,8994,7,3,0,0,011
service DavC_AndP,9473,9945,7,4,0,0,012
service AleD_RonP,10273,10506,8,4,0,0,013
*SWITCH*,11208,11302,8,4,0,0,999
service DavC_AndP,11363,11712,8,5,0,0,014
service DavC_AndP,12141,12476,8,6,0,0,015
service DavC_AndP,12824,13024,8,7,0,0,016
service AleD_RonP,13519,13850,9,7,0,0,017
service AleD_RonP,14415,14870,10,7,0,0,018
service DavC_AndP,15394,15662,10,8,0,0,019
service AleD_RonP,16043,16278,11,8,0,0,020
*SWITCH*,16893,16920,11,8,0,0,999
end of set,0,0,12,8,1,0,999
