service_side,start_frame,end_frame,JOMR_score,AmbF_AliL_score,JOMR_sets,AmbF_AliL_sets,point_index
match start - service AmbF_AliL,13,371,0,0,0,0,001
service AmbF_AliL,637,842,0,1,0,0,002
service JOMR,1131,1472,1,1,0,0,003
service JOMR,1817,2142,2,1,0,0,004
service AmbF_AliL,2553,3001,2,2,0,0,005
service JOMR,3519,3826,3,2,0,0,006
service AmbF_AliL,4145,4352,3,3,0,0,007
*SWITCH*,4435,4452,3,3,0,0,999
service AmbF_AliL,4498,4710,3,4,0,0,008
service JOMR,5014,5407,4,4,0,0,009
service AmbF_AliL,5599,5815,4,5,0,0,010
service JOMR,6018,6293,5,5,0,0,011
service AmbF_AliL,6631,6890,5,6,0,0,012
service JOMR,7126,7389,6,6,0,0,013
service AmbF_AliL,7733,7983,6,7,0,0,014
*SWITCH*,8088,8109,6,7,0,0,999
service AmbF_AliL,8343,8616,6,8,0,0,015
service AmbF_AliL,8851,9391,6,9,0,0,016
service AmbF_AliL,9709,9903,6,10,0,0,017
service JOMR,10256,10484,7,10,0,0,018
service JOMR,10693,11993,8,10,0,0,019
service JOMR,12459,12734,9,10,0,0,020
service AmbF_AliL,12846,13161,9,11,0,0,021
*SWITCH*,13449,13586,9,11,0,0,999
service AmbF_AliL,14562,14814,9,12,0,0,022
service JOMR,15011,15443,10,12,0,0,023
service JOMR,15732,16414,11,12,0,0,024
service AmbF_AliL,16970,17294,11,13,0,0,025
Timeout,17574,17686,11,13,0,0,999
service AmbF_AliL,18780,19103,11,14,0,0,026
service JOMR,19582,20162,12,14,0,0,027
service AmbF_AliL,20660,21056,12,15,0,0,028
*SWITCH*,21268,21303,12,15,0,0,999
service AmbF_AliL,21402,21632,12,16,0,0,029
service JOMR,22059,22330,13,16,0,0,030
service AmbF_AliL,22934,23152,13,17,0,0,031
service JOMR,23486,23794,14,17,0,0,032
service JOMR,23970,24443,15,17,0,0,033
service AmbF_AliL,24709,24956,15,18,0,0,034
service JOMR,25255,25581,16,18,0,0,035
service AmbF_AliL,25862,26144,16,19,0,0,036
*SWITCH*,26449,26495,16,19,0,0,999
service JOMR,26623,26821,17,19,0,0,037
service JOMR,27133,27421,18,19,0,0,038
service AmbF_AliL,27726,28001,18,20,0,0,039
service JOMR,28257,28546,19,20,0,0,040
service JOMR,28706,28949,20,20,0,0,041
end of set,0,0,20,20,0,0,999
