service_side,start_frame,end_frame,JOMR_score,DraJ_HelD_score,JOMR_sets,DraJ_HelD_sets,point_index
match start - service DraJ_HelD,504,910,0,0,0,0,001
service JOMR,1226,1385,1,0,0,0,002
service DraJ_HelD,1630,1843,1,1,0,0,003
service DraJ_HelD,2085,2290,1,2,0,0,004
service JOMR,2425,2781,2,2,0,0,005
*SWITCH*,2909,2933,2,2,0,0,999
service JOMR,3277,3556,3,2,0,0,006
service DraJ_HelD,3807,4125,3,3,0,0,007
service DraJ_HelD,4356,4617,3,4,0,0,008
service JOMR,4940,5404,4,4,0,0,009
service DraJ_HelD,5675,6010,4,5,0,0,010
*SWITCH*,6087,6132,4,5,0,0,999
service DraJ_HelD,6434,6727,4,6,0,0,011
service JOMR,7069,7370,5,6,0,0,012
service JOMR,7613,7870,6,6,0,0,013
service JOMR,8176,8320,7,6,0,0,014
service DraJ_HelD,8550,8951,7,7,0,0,015
*SWITCH*,9019,9080,7,7,0,0,999
service JOMR,9166,9352,8,7,0,0,016
service DraJ_HelD,9530,9830,8,8,0,0,017
service JOMR,10066,10281,9,8,0,0,018
service JOMR,10581,10973,10,8,0,0,019
Timeout,11273,11462,10,8,0,0,999
service JOMR,12894,13245,11,8,0,0,020
*SWITCH*,13422,13442,11,8,0,0,999
service DraJ_HelD,13707,14079,11,9,0,0,021
service DraJ_HelD,14346,14784,11,10,0,0,022
service DraJ_HelD,15245,15548,11,11,0,0,023
service JOMR,16760,16980,12,11,0,0,024
service DraJ_HelD,17292,18137,12,12,0,0,025
*SWITCH*,18423,19302,12,12,0,0,999
service DraJ_HelD,18544,19302,12,13,0,0,026
Timeout,19678,19758,12,13,0,0,999
service DraJ_HelD,21057,21351,12,14,0,0,027
service JOMR,21855,22274,13,14,0,0,028
end of set,0,0,13,15,0,1,999
set start - service JOMR,24581,25424,0,0,0,1,029
service JOMR,25800,26076,1,0,0,1,030
service DraJ_HelD,26353,26760,1,1,0,1,031
service JOMR,27184,27555,2,1,0,1,032
service DraJ_HelD,27868,28122,2,2,0,1,033
*SWITCH*,28199,28213,2,2,0,1,999
service DraJ_HelD,28529,28851,2,3,0,1,034
service DraJ_HelD,29079,29281,2,4,0,1,035
service DraJ_HelD,30155,30529,2,5,0,1,036
service JOMR,30857,31158,3,5,0,1,037
service JOMR,31492,31671,4,5,0,1,038
*SWITCH*,31734,31755,4,5,0,1,999
service JOMR,32005,32648,5,5,0,1,039
service JOMR,32918,33405,6,5,0,1,040
Timeout,33916,33954,6,5,0,1,999
service JOMR,35381,35540,7,5,0,1,041
service JOMR,35725,36091,8,5,0,1,042
service JOMR,36442,36822,9,5,0,1,043
*SWITCH*,36930,36956,9,5,0,1,999
service JOMR,37259,37691,10,5,0,1,044
service DraJ_HelD,38131,38332,10,6,0,1,045
service DraJ_HelD,38587,38877,10,7,0,1,046
service JOMR,39166,39397,11,7,0,1,047
service DraJ_HelD,39694,39856,11,8,0,1,048
service JOMR,40383,40725,12,8,0,1,049
service DraJ_HelD,41108,41437,12,9,0,1,050
service DraJ_HelD,41692,42018,12,10,0,1,051
service JOMR,42411,42644,13,10,0,1,052
service DraJ_HelD,42755,43131,13,11,0,1,053
*SWITCH*,43153,43324,13,11,0,1,999
service DraJ_HelD,43412,43732,13,12,0,1,054
service JOMR,44106,44366,14,12,0,1,055
service DraJ_HelD,44787,45397,14,13,0,1,056
service DraJ_HelD,45890,46563,14,14,0,1,057
service DraJ_HelD,46937,47210,14,15,0,1,058
*SWITCH*,47251,47275,14,15,0,1,999
service JOMR,47644,48129,15,15,0,1,059
service JOMR,48841,49382,16,15,0,1,060
end of set,0,0,17,15,1,1,999
set start - service JOMR,51654,51897,0,0,1,1,061
service JOMR,52165,52534,1,0,1,1,062
service JOMR,52918,53372,2,0,1,1,063
service JOMR,53800,54186,3,0,1,1,064
service JOMR,54534,55050,4,0,1,1,065
*SWITCH*,55107,55131,4,0,1,1,999
service JOMR,57101,57311,5,0,1,1,066
service JOMR,57520,57839,6,0,1,1,067
service DraJ_HelD,58250,58450,6,1,1,1,068
service JOMR,58630,58981,7,1,1,1,069
service JOMR,59177,59458,8,1,1,1,070
*SWITCH*,59512,59531,8,1,1,1,999
service DraJ_HelD,59829,60152,8,2,1,1,071
service JOMR,60496,60924,9,2,1,1,072
service DraJ_HelD,61132,61662,9,3,1,1,073
service JOMR,62110,62280,10,3,1,1,074
service DraJ_HelD,62530,62935,10,4,1,1,075
end of set,0,0,11,4,2,1,999
