service_side,start_frame,end_frame,JOMR_score,NarC_FloA_score,JOMR_sets,NarC_FloA_sets,point_index
match start - service JOMR,359,650,0,0,0,0,001
service NarC_FloA,867,1165,0,1,0,0,002
service JOMR,1501,1825,1,1,0,0,003
service JOMR,2276,2569,2,1,0,0,004
service NarC_FloA,3349,3586,2,2,0,0,005
*SWITCH*,3675,3723,2,2,0,0,999
service JOMR,3936,4233,3,2,0,0,006
service NarC_FloA,4606,5098,3,3,0,0,007
service JOMR,5475,5704,4,3,0,0,008
service JOMR,6088,6328,5,3,0,0,009
service NarC_FloA,6665,7041,5,4,0,0,010
*SWITCH*,7120,7195,5,4,0,0,999
service NarC_FloA,7580,7780,5,5,0,0,011
service JOMR,7941,8130,6,5,0,0,012
service NarC_FloA,8280,8598,6,6,0,0,013
service JOMR,8910,9114,7,6,0,0,014
service NarC_FloA,9242,9637,7,7,0,0,015
*SWITCH*,9717,9828,7,7,0,0,999
service JOMR,10261,10612,8,7,0,0,016
service NarC_FloA,10870,11030,8,8,0,0,017
service JOMR,11265,11533,9,8,0,0,018
service NarC_FloA,11769,11943,9,9,0,0,019
service JOMR,12161,12448,10,9,0,0,020
*SWITCH*,12625,12671,10,9,0,0,999
service NarC_FloA,12925,13145,10,10,0,0,021
service JOMR,13349,13538,11,10,0,0,022
service NarC_FloA,13673,13936,11,11,0,0,023
service JOMR,14228,14535,12,11,0,0,024
service NarC_FloA,14804,15106,12,12,0,0,025
*SWITCH*,15153,15187,12,12,0,0,999
service NarC_FloA,15527,15772,12,13,0,0,026
service NarC_FloA,16073,16326,12,14,0,0,027
end of set,0,0,12,15,0,1,999
set start - service NarC_FloA,19028,19677,0,0,0,1,028
service NarC_FloA,20068,20245,0,1,0,1,029
service JOMR,20428,20790,1,1,0,1,030
service JOMR,21201,21945,2,1,0,1,031
service JOMR,22239,22531,3,1,0,1,032
*SWITCH*,22595,22633,3,1,0,1,999
service NarC_FloA,22853,23069,3,2,0,1,033
service JOMR,23519,23794,4,2,0,1,034
service JOMR,23998,24426,5,2,0,1,035
service JOMR,24710,24920,6,2,0,1,036
service NarC_FloA,25216,25580,6,3,0,1,037
*SWITCH*,25650,25683,6,3,0,1,999
service NarC_FloA,26062,26598,6,4,0,1,038
service JOMR,26955,27220,7,4,0,1,039
service JOMR,27577,28041,8,4,0,1,040
service NarC_FloA,28313,28629,8,5,0,1,041
service NarC_FloA,29000,29285,8,6,0,1,042
*SWITCH*,29382,29398,8,6,0,1,999
service JOMR,29741,30062,9,6,0,1,043
service NarC_FloA,30298,30545,9,7,0,1,044
service JOMR,30788,31532,10,7,0,1,045
service JOMR,31805,32103,11,7,0,1,046
Timeout,32397,32620,11,7,0,1,999
service JOMR,34125,34298,12,7,0,1,047
*SWITCH*,34452,34498,12,7,0,1,999
service JOMR,34786,35073,13,7,0,1,048
service JOMR,35262,35577,14,7,0,1,049
service NarC_FloA,35858,36157,14,8,0,1,050
service NarC_FloA,36370,36692,14,9,0,1,051
Timeout,37024,37239,14,9,0,1,999
end of set,0,0,15,9,1,1,999
set start - service JOMR,39369,39805,0,0,1,1,052
service NarC_FloA,40035,40358,0,1,1,1,053
service NarC_FloA,40732,40975,0,2,1,1,054
service JOMR,41045,41319,1,2,1,1,055
service NarC_FloA,41631,41817,1,3,1,1,056
*SWITCH*,41880,41898,1,3,1,1,999
service NarC_FloA,42174,42470,1,4,1,1,057
service NarC_FloA,42656,42938,1,5,1,1,058
service NarC_FloA,43308,43940,1,6,1,1,059
service JOMR,44336,44590,2,6,1,1,060
service NarC_FloA,44821,45044,2,7,1,1,061
*SWITCH*,45190,45238,2,7,1,1,999
service JOMR,45474,45713,3,7,1,1,062
service NarC_FloA,45883,46347,3,8,1,1,063
Timeout,46693,46859,3,8,1,1,999
service NarC_FloA,47824,48155,3,9,1,1,064
service NarC_FloA,48342,48667,3,10,1,1,065
end of set,0,0,3,11,1,2,999
