service_side,start_frame,end_frame,JOMR_score,AlyO_AgR_score,JOMR_sets,AlyO_AgR_sets,point_index
match start - service AlyO_AgR,15354,15782,0,0,0,0,001
service AlyO_AgR,16038,16501,0,1,0,0,002
service AlyO_AgR,17444,18224,0,2,0,0,003
service AlyO_AgR,18611,19038,0,3,0,0,004
service AlyO_AgR,19314,20478,0,4,0,0,005
*SWITCH*,20569,20638,0,4,0,0,999
service JOMR,20941,21297,1,4,0,0,006
service AlyO_AgR,21725,21951,1,5,0,0,007
service AlyO_AgR,22242,22628,1,6,0,0,008
service JOMR,23013,23299,2,6,0,0,009
service JOMR,23788,23994,3,6,0,0,010
*SWITCH*,24157,24221,3,6,0,0,999
service AlyO_AgR,24384,24851,3,7,0,0,011
service AlyO_AgR,25353,25603,3,8,0,0,012
service AlyO_AgR,25914,26283,3,9,0,0,013
service JOMR,27101,27487,4,9,0,0,014
service JOMR,27827,28201,5,9,0,0,015
*SWITCH*,28299,28371,5,9,0,0,999
service AlyO_AgR,28749,28999,5,10,0,0,016
service AlyO_AgR,29167,29391,5,11,0,0,017
service JOMR,29582,29953,6,11,0,0,018
service AlyO_AgR,30294,30686,6,12,0,0,019
service JOMR,30957,31346,7,12,0,0,020
*SWITCH*,31508,31610,7,12,0,0,999
service JOMR,31780,32068,8,12,0,0,021
service AlyO_AgR,32405,32937,8,13,0,0,022
service AlyO_AgR,33365,33819,8,14,0,0,023
service JOMR,34216,34496,9,14,0,0,024
end of set,0,0,9,15,0,1,999
set start - service JOMR,37229,37630,0,0,0,1,025
service JOMR,37931,38321,1,0,0,1,026
service AlyO_AgR,38631,39113,1,1,0,1,027
service AlyO_AgR,39492,40157,1,2,0,1,028
service AlyO_AgR,40526,40875,1,3,0,1,029
*SWITCH*,41018,41433,1,3,0,1,999
service JOMR,41476,41901,2,3,0,1,030
service AlyO_AgR,42277,42646,2,4,0,1,031
service AlyO_AgR,42977,43194,2,5,0,1,032
service AlyO_AgR,43433,43752,2,6,0,1,033
service JOMR,44108,44413,3,6,0,1,034
*SWITCH*,44605,44693,3,6,0,1,999
service JOMR,44958,45208,4,6,0,1,035
service AlyO_AgR,45497,45909,4,7,0,1,036
service JOMR,46477,46624,5,7,0,1,037
service AlyO_AgR,46852,47436,5,8,0,1,038
service JOMR,47810,48473,6,8,0,1,039
*SWITCH*,48813,48913,6,8,0,1,999
service JOMR,49374,49615,7,8,0,1,040
service JOMR,49995,50350,8,8,0,1,041
service AlyO_AgR,50823,51055,8,9,0,1,042
service JOMR,51321,51820,9,9,0,1,043
service AlyO_AgR,52323,52619,9,10,0,1,044
*SWITCH*,52764,52912,9,10,0,1,999
service JOMR,53247,53706,10,10,0,1,045
service AlyO_AgR,54253,54869,10,11,0,1,046
Timeout,55300,55400,10,11,0,1,999
service JOMR,56942,57543,11,11,0,1,047
service JOMR,57871,58255,12,11,0,1,048
service AlyO_AgR,58566,58834,12,12,0,1,049
*SWITCH*,59005,59070,12,12,0,1,999
service JOMR,59647,60043,13,12,0,1,050
service AlyO_AgR,60382,60783,13,13,0,1,051
end of set,0,0,13,13,0,1,999
