service_side,start_frame,end_frame,JOMR_score,NoG_AliP_score,JOMR_sets,NoG_AliP_sets,point_index
match start - service NoG_AliP,134,440,0,0,0,0,001
service JOMR,749,1168,1,0,0,0,002
service NoG_AliP,1453,1881,1,1,0,0,003
service NoG_AliP,2156,2546,1,2,0,0,004
service JOMR,2903,3065,2,2,0,0,005
service NoG_AliP,3420,3858,2,3,0,0,006
service JOMR,4250,4398,3,3,0,0,007
*SWITCH*,4574,4894,3,3,0,0,999
service JOMR,5054,5210,4,3,0,0,008
service JOMR,5598,5854,5,3,0,0,009
service JOMR,6163,6481,6,3,0,0,010
service NoG_AliP,6782,7021,6,4,0,0,011
service JOMR,7359,7586,7,4,0,0,012
service JOMR,7893,8144,8,4,0,0,013
Timeout,8528,10040,8,4,0,0,999
service JOMR,10512,10786,9,4,0,0,014
*SWITCH*,10953,11596,9,4,0,0,999
service NoG_AliP,11696,11962,9,5,0,0,015
service JOMR,12249,12571,10,5,0,0,016
service NoG_AliP,12955,13146,10,6,0,0,017
service NoG_AliP,13367,13632,10,7,0,0,018
service JOMR,13808,14141,11,7,0,0,019
service JOMR,14406,14641,12,7,0,0,020
service NoG_AliP,14868,15026,12,8,0,0,021
*SWITCH*,15318,15595,12,8,0,0,999
service JOMR,15638,15787,13,8,0,0,022
service JOMR,16041,16209,14,8,0,0,023
service NoG_AliP,16418,16629,14,9,0,0,024
service JOMR,16995,17451,15,9,0,0,025
service JOMR,17693,17927,16,9,0,0,026
service JOMR,18296,18469,17,9,0,0,027
service NoG_AliP,18658,18975,17,10,0,0,028
*SWITCH*,19147,19923,17,10,0,0,999
service NoG_AliP,19984,20192,17,11,0,0,029
service JOMR,20281,20460,18,11,0,0,030
service JOMR,20779,21084,19,11,0,0,031
service NoG_AliP,21236,21584,19,12,0,0,032
service JOMR,21768,22013,20,12,0,0,033
service NoG_AliP,22341,22579,20,13,0,0,034
*SWITCH*,22734,23088,20,13,0,0,999
end of set,0,0,21,13,1,0,999
