service_side,start_frame,end_frame,JOMR_score,AleN_EmP_score,JOMR_sets,AleN_EmP_sets,point_index
match start - service AleN_EmP,34,88,0,0,0,0,001
service JOMR,358,748,1,0,0,0,002
service JOMR,1070,1260,2,0,0,0,003
service AleN_EmP,1481,1667,2,1,0,0,004
*SWITCH*,1899,2232,2,1,0,0,999
service JOMR,2320,2579,3,1,0,0,005
service AleN_EmP,2880,3096,3,2,0,0,006
service JOMR,3523,3673,4,2,0,0,007
service AleN_EmP,4082,4391,4,3,0,0,008
service AleN_EmP,4900,5292,4,4,0,0,009
service AleN_EmP,5827,5974,4,5,0,0,010
service AleN_EmP,6261,6510,4,6,0,0,011
service JOMR,6880,7001,5,6,0,0,012
*SWITCH*,7122,7584,5,6,0,0,999
service AleN_EmP,7606,7844,5,7,0,0,013
service AleN_EmP,8120,8549,5,8,0,0,014
service JOMR,8932,9285,6,8,0,0,015
service JOMR,9478,9873,7,8,0,0,016
service AleN_EmP,10241,10414,7,9,0,0,017
service JOMR,10614,10790,8,9,0,0,018
service JOMR,11047,11279,9,9,0,0,019
*SWITCH*,11404,11851,9,9,0,0,999
Timeout,11888,12905,9,9,0,0,999
service JOMR,13029,13482,10,9,0,0,020
service AleN_EmP,13728,13902,10,10,0,0,021
service AleN_EmP,14157,14674,10,11,0,0,022
service JOMR,15059,15262,11,11,0,0,023
service JOMR,15665,15905,12,11,0,0,024
service AleN_EmP,16176,16455,12,12,0,0,025
service JOMR,16769,16875,13,12,0,0,026
*SWITCH*,16921,17167,13,12,0,0,999
service AleN_EmP,17340,17592,13,13,0,0,027
service JOMR,17974,18577,14,13,0,0,028
service AleN_EmP,18912,19190,14,14,0,0,029
service JOMR,19644,19777,15,14,0,0,030
service JOMR,20079,20284,16,14,0,0,031
service AleN_EmP,20527,20946,16,15,0,0,032
Timeout,21736,23188,16,15,0,0,999
service AleN_EmP,23357,23637,16,16,0,0,033
*SWITCH*,23827,24256,16,16,0,0,999
service JOMR,24383,24888,17,16,0,0,034
end of set,0,0,18,16,1,0,999
