service_side,start_frame,end_frame,JOMR_score,PauG_NeCH_score,JOMR_sets,PauG_NeCH_sets,point_index
match start - service PauG_NeCH,48,227,0,0,0,0,001
service PauG_NeCH,639,914,0,1,0,0,002
service JOMR,1416,1599,1,1,0,0,003
service JOMR,2088,2227,2,1,0,0,004
service JOMR,2529,2754,3,1,0,0,005
*SWITCH*,2852,3195,3,1,0,0,999
service JOMR,3362,3508,4,1,0,0,006
Timeout,3764,4709,4,1,0,0,999
service JOMR,4818,5033,5,1,0,0,007
service PauG_NeCH,5252,5697,5,2,0,0,008
service JOMR,5936,6141,6,2,0,0,009
service JOMR,6382,6538,7,2,0,0,010
*SWITCH*,6587,6745,7,2,0,0,999
service PauG_NeCH,6771,6908,7,3,0,0,011
service PauG_NeCH,7137,7262,7,4,0,0,012
service PauG_NeCH,7414,7635,7,5,0,0,013
Timeout,7846,8535,7,5,0,0,999
service PauG_NeCH,8612,8794,7,6,0,0,014
service PauG_NeCH,8991,9080,7,7,0,0,015
*SWITCH*,9138,9276,7,7,0,0,999
service JOMR,9360,9453,8,7,0,0,016
service PauG_NeCH,9612,9772,8,8,0,0,017
service PauG_NeCH,9990,10258,8,9,0,0,018
service JOMR,10460,10548,9,9,0,0,019
service PauG_NeCH,10709,10869,9,10,0,0,020
*SWITCH*,10898,11063,9,10,0,0,999
service PauG_NeCH,11148,11410,9,11,0,0,021
service PauG_NeCH,11631,11754,9,12,0,0,022
service PauG_NeCH,12127,12343,9,13,0,0,023
service PauG_NeCH,12490,12786,9,14,0,0,024
end of set,0,0,9,15,0,1,999
set start - service JOMR,14293,14536,0,0,0,1,025
service JOMR,14687,14941,1,0,0,1,026
service JOMR,15110,15250,2,0,0,1,027
service JOMR,15418,15636,3,0,0,1,028
service JOMR,15811,15897,4,0,0,1,029
*SWITCH*,15940,16069,4,0,0,1,999
service JOMR,16151,16274,5,0,0,1,030
Timeout,16413,17023,5,0,0,1,999
service JOMR,17152,17376,6,0,0,1,031
service PauG_NeCH,17616,17771,6,1,0,1,032
service PauG_NeCH,18019,18112,6,2,0,1,033
service JOMR,18320,18480,7,2,0,1,034
*SWITCH*,18513,18607,7,2,0,1,999
service JOMR,18687,18860,8,2,0,1,035
service PauG_NeCH,19120,19295,8,3,0,1,036
service JOMR,19613,19802,9,3,0,1,037
service JOMR,19995,20126,10,3,0,1,038
service PauG_NeCH,20292,20545,10,4,0,1,039
*SWITCH*,20653,20773,10,4,0,1,999
service JOMR,20881,21054,11,4,0,1,040
service PauG_NeCH,21275,21470,11,5,0,1,041
service PauG_NeCH,21662,21909,11,6,0,1,042
service JOMR,22159,22317,12,6,0,1,043
*SWITCH*,22541,22811,12,6,0,1,999
service PauG_NeCH,22914,23044,12,7,0,1,044
service JOMR,23406,23542,13,7,0,1,045
service PauG_NeCH,23637,23903,13,8,0,1,046
service PauG_NeCH,24103,24325,13,9,0,1,047
service PauG_NeCH,24690,25026,13,10,0,1,048
*SWITCH*,25252,25398,13,10,0,1,999
service PauG_NeCH,25742,25877,13,11,0,1,049
Timeout,26231,26938,13,11,0,1,999
service PauG_NeCH,27105,27266,13,12,0,1,050
service JOMR,27463,27595,14,12,0,1,051
end of set,0,0,15,12,1,1,999
set start - service JOMR,29159,29434,0,0,1,1,052
service JOMR,29754,29961,1,0,1,1,053
service PauG_NeCH,30141,30280,1,1,1,1,054
service PauG_NeCH,30449,30573,1,2,1,1,055
service JOMR,30731,30857,2,2,1,1,056
*SWITCH*,30914,31067,2,2,1,1,999
service PauG_NeCH,31171,31312,2,3,1,1,057
service JOMR,31503,31606,3,3,1,1,058
service PauG_NeCH,31832,32000,3,4,1,1,059
service JOMR,32216,32365,4,4,1,1,060
service PauG_NeCH,32559,32883,4,5,1,1,061
*SWITCH*,33042,33201,4,5,1,1,999
service JOMR,33281,33553,5,5,1,1,062
service JOMR,33728,33966,6,5,1,1,063
service PauG_NeCH,34294,34499,6,6,1,1,064
service JOMR,34781,34969,7,6,1,1,065
service PauG_NeCH,35167,35362,7,7,1,1,066
*SWITCH*,35443,35707,7,7,1,1,999
service JOMR,35778,36002,8,7,1,1,067
service JOMR,36262,36433,9,7,1,1,068
service PauG_NeCH,36624,36720,9,8,1,1,069
service JOMR,36889,37058,10,8,1,1,070
service PauG_NeCH,37318,37451,10,9,1,1,071
end of set,0,0,11,9,2,1,999
