service_side,start_frame,end_frame,JOMR_score,MarL_MarB_score,JOMR_sets,MarL_MarB_sets,point_index
match start - service MarL_MarB,219,785,0,0,0,0,001
service MarL_MarB,1075,1373,0,1,0,0,002
service MarL_MarB,1696,2288,0,2,0,0,003
service JOMR,2549,2766,1,2,0,0,004
service JOMR,2993,3290,2,2,0,0,005
service JOMR,3498,3772,3,2,0,0,006
service MarL_MarB,3943,4242,3,3,0,0,007
*SWITCH*,4382,4432,3,3,0,0,999
service JOMR,4622,5057,4,3,0,0,008
service JOMR,5353,5719,5,3,0,0,009
service MarL_MarB,5922,6491,5,4,0,0,010
service MarL_MarB,6855,7533,5,5,0,0,011
service MarL_MarB,7884,8466,5,6,0,0,012
service JOMR,8728,9231,6,6,0,0,013
service JOMR,9451,9799,7,6,0,0,014
*SWITCH*,9891,10212,7,6,0,0,999
service JOMR,10359,10661,8,6,0,0,015
service MarL_MarB,11073,11531,8,7,0,0,016
service MarL_MarB,11947,12100,8,8,0,0,017
service JOMR,12266,12865,9,8,0,0,018
service MarL_MarB,13154,13526,9,9,0,0,019
service JOMR,13857,14103,10,9,0,0,020
service MarL_MarB,14312,14531,10,10,0,0,021
*SWITCH*,14677,14735,10,10,0,0,999
service MarL_MarB,16464,16843,10,11,0,0,022
service MarL_MarB,17275,17566,10,12,0,0,023
service JOMR,17902,18133,11,12,0,0,024
service MarL_MarB,18351,18892,11,13,0,0,025
service MarL_MarB,19267,19696,11,14,0,0,026
service MarL_MarB,19953,20296,11,15,0,0,027
service JOMR,20693,21084,12,15,0,0,028
*SWITCH*,21274,21345,12,15,0,0,999
service JOMR,21654,22035,13,15,0,0,029
service MarL_MarB,22284,22546,13,16,0,0,030
service MarL_MarB,22832,23245,13,17,0,0,031
service JOMR,23596,23824,14,17,0,0,032
service MarL_MarB,24080,24457,14,18,0,0,033
service JOMR,24662,24948,15,18,0,0,034
service JOMR,25206,25569,16,18,0,0,035
*SWITCH*,25857,25930,16,18,0,0,999
service MarL_MarB,26039,26429,16,19,0,0,036
Timeout,26969,27136,16,19,0,0,999
service MarL_MarB,28554,28966,16,20,0,0,037
service JOMR,29313,29791,17,20,0,0,038
end of set,0,0,17,21,0,1,999
set start - service JOMR,31944,32432,0,0,0,1,039
service MarL_MarB,32785,33509,0,1,0,1,040
service MarL_MarB,33872,34275,0,2,0,1,041
service MarL_MarB,34661,35106,0,3,0,1,042
service JOMR,35318,35730,1,3,0,1,043
service MarL_MarB,36076,36464,1,4,0,1,044
Timeout,36996,37184,1,4,0,1,999
service MarL_MarB,38640,38698,1,5,0,1,045
*SWITCH*,39002,39044,1,5,0,1,999
service JOMR,39157,39565,2,5,0,1,046
service JOMR,39794,40031,3,5,0,1,047
service JOMR,40289,40474,4,5,0,1,048
service MarL_MarB,40707,41056,4,6,0,1,049
service JOMR,41302,41651,5,6,0,1,050
service JOMR,42039,42561,6,6,0,1,051
service MarL_MarB,42970,43510,6,7,0,1,052
*SWITCH*,43712,43760,6,7,0,1,999
service MarL_MarB,44005,44243,6,8,0,1,053
service JOMR,44426,44857,7,8,0,1,054
service JOMR,45098,45828,8,8,0,1,055
service JOMR,46587,46910,9,8,0,1,056
service MarL_MarB,47178,47614,9,9,0,1,057
service MarL_MarB,48052,48370,9,10,0,1,058
service MarL_MarB,48831,49184,9,11,0,1,059
*SWITCH*,49427,49502,9,11,0,1,999
service JOMR,51251,51560,10,11,0,1,060
service MarL_MarB,52003,52503,10,12,0,1,061
service JOMR,52851,53102,11,12,0,1,062
service JOMR,53333,53643,12,12,0,1,063
service MarL_MarB,53862,54287,12,13,0,1,064
service JOMR,54597,55071,13,13,0,1,065
service JOMR,55297,56021,14,13,0,1,066
*SWITCH*,56480,56551,14,13,0,1,999
service MarL_MarB,56939,57474,14,14,0,1,067
service MarL_MarB,57998,58278,14,15,0,1,068
service JOMR,58690,59205,15,15,0,1,069
service MarL_MarB,59601,59997,15,16,0,1,070
service JOMR,60308,60635,16,16,0,1,071
service MarL_MarB,60823,61075,16,17,0,1,072
service MarL_MarB,61608,62091,16,18,0,1,073
*SWITCH*,62165,62189,16,18,0,1,999
service JOMR,62489,62764,17,18,0,1,074
service MarL_MarB,63204,63491,17,19,0,1,075
service JOMR,63765,64002,18,19,0,1,076
service MarL_MarB,64855,65407,18,20,0,1,077
end of set,0,0,18,21,0,2,999
