service_side,start_frame,end_frame,JOMR_score,TipS_AleJ_score,JOMR_sets,TipS_AleJ_sets,point_index
match start - service TipS_AleJ,429,800,0,0,0,0,001
service JOMR,1224,1474,1,0,0,0,002
service TipS_AleJ,1946,2134,1,1,0,0,003
service TipS_AleJ,2382,2540,1,2,0,0,004
service JOMR,2716,3018,2,2,0,0,005
*SWITCH*,3113,3131,2,2,0,0,999
service JOMR,3380,3822,3,2,0,0,006
service TipS_AleJ,4342,4652,3,3,0,0,007
service TipS_AleJ,5322,5942,3,4,0,0,008
service JOMR,6295,6609,4,4,0,0,009
service TipS_AleJ,6949,7306,4,5,0,0,010
*SWITCH*,7482,7551,4,5,0,0,999
service TipS_AleJ,7757,8047,4,6,0,0,011
service JOMR,8273,8537,5,6,0,0,012
service JOMR,8744,8922,6,6,0,0,013
service JOMR,9184,9415,7,6,0,0,014
service JOMR,9741,9942,8,6,0,0,015
*SWITCH*,10126,10201,8,6,0,0,999
service TipS_AleJ,10528,10795,8,7,0,0,016
service JOMR,10973,11122,9,7,0,0,017
service TipS_AleJ,11342,11541,9,8,0,0,018
service JOMR,11813,12181,10,8,0,0,019
service TipS_AleJ,12454,12827,10,9,0,0,020
*SWITCH*,13145,13166,10,9,0,0,999
service JOMR,13206,13487,11,9,0,0,021
service TipS_AleJ,13772,13964,11,10,0,0,022
service JOMR,14129,14357,12,10,0,0,023
service JOMR,14692,14975,13,10,0,0,024
service JOMR,15218,15539,14,10,0,0,025
*SWITCH*,15608,15641,14,10,0,0,999
service TipS_AleJ,16011,16377,14,11,0,0,026
end of set,0,0,15,11,1,0,999
set start - service JOMR,18624,19372,0,0,1,0,027
service JOMR,19618,19852,1,0,1,0,028
service JOMR,20064,20255,2,0,1,0,029
service JOMR,20505,20823,3,0,1,0,030
Timeout,21328,21471,3,0,1,0,999
service JOMR,22544,22799,4,0,1,0,031
*SWITCH*,22914,23071,4,0,1,0,999
service TipS_AleJ,23418,23852,4,1,1,0,032
service JOMR,24171,24457,5,1,1,0,033
service JOMR,24665,24785,6,1,1,0,034
service TipS_AleJ,25001,25295,6,2,1,0,035
service JOMR,25602,25779,7,2,1,0,036
*SWITCH*,25907,25965,7,2,1,0,999
service TipS_AleJ,26217,26540,7,3,1,0,037
service JOMR,26929,27201,8,3,1,0,038
service TipS_AleJ,27461,27712,8,4,1,0,039
service JOMR,28079,28251,9,4,1,0,040
service TipS_AleJ,28470,28849,9,5,1,0,041
*SWITCH*,29068,29110,9,5,1,0,999
service JOMR,29307,29522,10,5,1,0,042
service JOMR,29780,30062,11,5,1,0,043
service TipS_AleJ,30338,30545,11,6,1,0,044
service TipS_AleJ,30730,30962,11,7,1,0,045
service JOMR,31252,31505,12,7,1,0,046
*SWITCH*,31703,31736,12,7,1,0,999
service JOMR,32013,32292,13,7,1,0,047
service TipS_AleJ,32664,32959,13,8,1,0,048
service JOMR,33142,33372,14,8,1,0,049
service TipS_AleJ,33546,33882,14,9,1,0,050
end of set,0,0,15,9,2,0,999
