service_side,start_frame,end_frame,JOMR_score,AlyO_EmeM_score,JOMR_sets,AlyO_EmeM_sets,point_index
match start - service JOMR,31,358,0,0,0,0,001
service JOMR,783,1034,1,0,0,0,002
service JOMR,1350,1563,2,0,0,0,003
service AlyO_EmeM,1782,2067,2,1,0,0,004
service AlyO_EmeM,2284,2541,2,2,0,0,005
*SWITCH*,2807,2822,2,2,0,0,999
service JOMR,2965,3302,3,2,0,0,006
service AlyO_EmeM,3810,4173,3,3,0,0,007
service AlyO_EmeM,4686,5014,3,4,0,0,008
service JOMR,5340,5697,4,4,0,0,009
service AlyO_EmeM,6056,6377,4,5,0,0,010
service JOMR,6862,7170,5,5,0,0,011
service AlyO_EmeM,7692,8386,5,6,0,0,012
service JOMR,8953,9243,6,6,0,0,013
service AlyO_EmeM,9716,10053,6,7,0,0,014
service AlyO_EmeM,10396,10689,6,8,0,0,015
*SWITCH*,10842,11454,6,8,0,0,999
service AlyO_EmeM,11112,11454,6,9,0,0,016
Timeout,12254,12377,6,9,0,0,999
service AlyO_EmeM,13558,14001,6,10,0,0,017
service JOMR,14315,14522,7,10,0,0,018
service JOMR,14871,15103,8,10,0,0,019
service JOMR,15418,15581,9,10,0,0,020
*SWITCH*,16178,16188,9,10,0,0,999
service JOMR,16225,16491,10,10,0,0,021
service AlyO_EmeM,16939,17274,10,11,0,0,022
service AlyO_EmeM,17606,18026,10,12,0,0,023
service AlyO_EmeM,18473,18753,10,13,0,0,024
service JOMR,19068,19434,11,13,0,0,025
*SWITCH*,19712,19783,11,13,0,0,999
service AlyO_EmeM,19991,20360,11,14,0,0,026
end of set,0,0,11,15,0,1,999
set start - service AlyO_EmeM,22529,22728,0,0,0,1,027
service AlyO_EmeM,23184,23336,0,1,0,1,028
service JOMR,23603,23919,1,1,0,1,029
service AlyO_EmeM,24350,24824,1,2,0,1,030
service AlyO_EmeM,25354,25551,1,3,0,1,031
*SWITCH*,25669,25707,1,3,0,1,999
service AlyO_EmeM,26057,26421,1,4,0,1,032
service JOMR,26730,27484,2,4,0,1,033
Timeout,28053,28455,2,4,0,1,999
service AlyO_EmeM,29835,30237,2,5,0,1,034
service AlyO_EmeM,30707,30882,2,6,0,1,035
service AlyO_EmeM,31270,31487,2,7,0,1,036
*SWITCH*,31780,31837,2,7,0,1,999
service AlyO_EmeM,32177,32907,2,8,0,1,037
service AlyO_EmeM,33499,33674,2,9,0,1,038
service JOMR,33991,34605,3,9,0,1,039
service JOMR,34995,35281,4,9,0,1,040
service AlyO_EmeM,35776,36189,4,10,0,1,041
*SWITCH*,36338,36386,4,10,0,1,999
service JOMR,36828,37129,5,10,0,1,042
service JOMR,37457,37632,6,10,0,1,043
service AlyO_EmeM,37920,38705,6,11,0,1,044
service JOMR,39362,39600,7,11,0,1,045
service AlyO_EmeM,39978,40268,7,12,0,1,046
*SWITCH*,40483,40544,7,12,0,1,999
service JOMR,40975,41256,8,12,0,1,047
service AlyO_EmeM,41694,42013,8,13,0,1,048
service JOMR,42348,42697,9,13,0,1,049
service AlyO_EmeM,43083,43674,9,14,0,1,050
end of set,0,0,9,15,0,2,999
