service_side,start_frame,end_frame,JOMR_score,MarL_MarB_score,JOMR_sets,MarL_MarB_sets,point_index
match start - service MarL_MarB,53,423,0,0,0,0,001
service MarL_MarB,742,898,0,1,0,0,002
service MarL_MarB,1328,1553,0,2,0,0,003
service JOMR,2038,2339,1,2,0,0,004
service MarL_MarB,2619,2966,1,3,0,0,005
*SWITCH*,3106,3124,1,3,0,0,999
service MarL_MarB,3577,3648,1,4,0,0,006
service JOMR,3936,4136,2,4,0,0,007
service MarL_MarB,4451,4702,2,5,0,0,008
service MarL_MarB,5110,5380,2,6,0,0,009
service JOMR,5673,5828,3,6,0,0,010
service JOMR,6366,6582,4,6,0,0,011
service JOMR,6911,7081,5,6,0,0,012
service JOMR,7389,7558,6,6,0,0,013
service JOMR,7929,8119,7,6,0,0,014
service MarL_MarB,8504,8702,7,7,0,0,015
*SWITCH*,8975,8990,7,7,0,0,999
service JOMR,9386,9795,8,7,0,0,016
service MarL_MarB,10079,10286,8,8,0,0,017
service JOMR,11087,11467,9,8,0,0,018
service MarL_MarB,11917,12438,9,9,0,0,019
service JOMR,12964,13127,10,9,0,0,020
*SWITCH*,13285,13300,10,9,0,0,999
service JOMR,13665,13790,11,9,0,0,021
Timeout,13949,14098,11,9,0,0,999
service JOMR,15686,15991,12,9,0,0,022
service MarL_MarB,16343,16564,12,10,0,0,023
service MarL_MarB,16976,17097,12,11,0,0,024
service MarL_MarB,17404,17714,12,12,0,0,025
*SWITCH*,17873,17895,12,12,0,0,999
service MarL_MarB,18370,18603,12,13,0,0,026
service JOMR,18941,19128,13,13,0,0,027
service JOMR,19481,19715,14,13,0,0,028
service MarL_MarB,20107,20440,14,14,0,0,029
Timeout,20951,21011,14,14,0,0,999
service MarL_MarB,22465,22629,14,15,0,0,030
*SWITCH*,22751,22768,14,15,0,0,999
service JOMR,23210,23482,15,15,0,0,031
service MarL_MarB,23794,24207,15,16,0,0,032
end of set,0,0,15,17,0,1,999
set start - service JOMR,26626,26994,0,0,0,1,033
service JOMR,27277,27416,1,0,0,1,034
service MarL_MarB,27690,27941,1,1,0,1,035
service JOMR,28403,28514,2,1,0,1,036
service JOMR,28760,29018,3,1,0,1,037
*SWITCH*,29199,29216,3,1,0,1,999
service MarL_MarB,29785,29947,3,2,0,1,038
service JOMR,30563,30699,4,2,0,1,039
service MarL_MarB,30964,31235,4,3,0,1,040
service MarL_MarB,31682,31922,4,4,0,1,041
service JOMR,32197,32467,5,4,0,1,042
*SWITCH*,32644,32659,5,4,0,1,999
service MarL_MarB,32986,33094,5,5,0,1,043
service MarL_MarB,33367,33486,5,6,0,1,044
service JOMR,33963,34180,6,6,0,1,045
service MarL_MarB,34607,35035,6,7,0,1,046
service MarL_MarB,35652,35841,6,8,0,1,047
*SWITCH*,35950,36074,6,8,0,1,999
service JOMR,36174,36357,7,8,0,1,048
service MarL_MarB,36931,37100,7,9,0,1,049
service JOMR,37498,37675,8,9,0,1,050
service MarL_MarB,37997,38270,8,10,0,1,051
service MarL_MarB,38593,38893,8,11,0,1,052
*SWITCH*,39307,39360,8,11,0,1,999
Timeout,39468,39545,8,11,0,1,999
service MarL_MarB,40846,41103,8,12,0,1,053
service JOMR,41458,41692,9,12,0,1,054
service MarL_MarB,42109,42267,9,13,0,1,055
service JOMR,42764,42876,10,13,0,1,056
end of set,0,0,10,14,0,2,999
