service_side,start_frame,end_frame,JOMR_score,CecB_JulL_score,JOMR_sets,CecB_JulL_sets,point_index
match start - service JOMR,44,288,0,0,0,0,001
service JOMR,631,851,1,0,0,0,002
service JOMR,1237,1448,2,0,0,0,003
Timeout,1796,3031,2,0,0,0,999
service JOMR,3298,3559,3,0,0,0,004
service CecB_JulL,4056,4285,3,1,0,0,005
*SWITCH*,4420,4480,3,1,0,0,999
service JOMR,4828,5065,4,1,0,0,006
service JOMR,5576,5746,5,1,0,0,007
service CecB_JulL,6079,6383,5,2,0,0,008
service CecB_JulL,6827,6979,5,3,0,0,009
service JOMR,7421,7616,6,3,0,0,010
*SWITCH*,7784,7878,6,3,0,0,999
service JOMR,8227,8503,7,3,0,0,011
service CecB_JulL,9050,9366,7,4,0,0,012
service CecB_JulL,9927,10285,7,5,0,0,013
service JOMR,10675,10892,8,5,0,0,014
service CecB_JulL,11273,11577,8,6,0,0,015
*SWITCH*,11781,11815,8,6,0,0,999
service CecB_JulL,12289,12446,8,7,0,0,016
service JOMR,12805,13198,9,7,0,0,017
service CecB_JulL,13741,14088,9,8,0,0,018
service CecB_JulL,14615,14836,9,9,0,0,019
service JOMR,15270,15577,10,9,0,0,020
*SWITCH*,15761,15851,10,9,0,0,999
service CecB_JulL,16138,16261,10,10,0,0,021
service JOMR,16540,16712,11,10,0,0,022
service JOMR,17141,17447,12,10,0,0,023
service CecB_JulL,17952,18142,12,11,0,0,024
service CecB_JulL,18467,18911,12,12,0,0,025
*SWITCH*,19074,19109,12,12,0,0,999
service CecB_JulL,19543,19906,12,13,0,0,026
Timeout,20547,20643,12,13,0,0,999
service CecB_JulL,22146,22560,12,14,0,0,027
end of set,0,0,12,15,0,1,999
set start - service CecB_JulL,24770,24942,0,0,0,1,028
service CecB_JulL,25281,25586,0,1,0,1,029
service JOMR,26177,26381,1,1,0,1,030
service CecB_JulL,26925,27302,1,2,0,1,031
service CecB_JulL,27889,28040,1,3,0,1,032
*SWITCH*,28179,28235,1,3,0,1,999
service JOMR,28623,28972,2,3,0,1,033
service CecB_JulL,29566,29728,2,4,0,1,034
service CecB_JulL,30033,30293,2,5,0,1,035
service CecB_JulL,30721,31011,2,6,0,1,036
service JOMR,31295,31569,3,6,0,1,037
*SWITCH*,31728,31792,3,6,0,1,999
service CecB_JulL,32161,32557,3,7,0,1,038
service CecB_JulL,33054,33399,3,8,0,1,039
Timeout,33842,33965,3,8,0,1,999
service CecB_JulL,35282,35492,3,9,0,1,040
service JOMR,35876,36019,4,9,0,1,041
service JOMR,36268,36501,5,9,0,1,042
*SWITCH*,36581,36618,5,9,0,1,999
service JOMR,36973,37275,6,9,0,1,043
service CecB_JulL,37934,38202,6,10,0,1,044
service JOMR,38892,39499,7,10,0,1,045
service CecB_JulL,40102,40370,7,11,0,1,046
service JOMR,40907,41074,8,11,0,1,047
*SWITCH*,41305,41352,8,11,0,1,999
service CecB_JulL,41881,42523,8,12,0,1,048
service JOMR,43022,43189,9,12,0,1,049
service CecB_JulL,43467,43688,9,13,0,1,050
service JOMR,44132,44472,10,13,0,1,051
service JOMR,44918,45072,11,13,0,1,052
*SWITCH*,45320,45454,11,13,0,1,999
service CecB_JulL,45791,46171,11,14,0,1,053
service JOMR,46610,47000,12,14,0,1,054
end of set,0,0,12,15,0,2,999
