service_side,start_frame,end_frame,JOMR_score,(adv)_score,JOMR_sets,(adv)_sets,point_index
match start - service JOMR,45,465,0,0,0,0,001
service (adv),767,1116,0,1,0,0,002
service (adv),1471,1752,0,2,0,0,003
service (adv),2029,2292,0,3,0,0,004
service JOMR,2785,2888,1,3,0,0,005
service (adv),4101,4323,1,4,0,0,006
service JOMR,4830,5063,2,4,0,0,007
*SWITCH*,5510,5524,2,4,0,0,999
service JOMR,5580,5755,3,4,0,0,008
service JOMR,6040,6365,4,4,0,0,009
service JOMR,6788,6961,5,4,0,0,010
service (adv),7296,7625,5,5,0,0,011
service (adv),7998,8269,5,6,0,0,012
service JOMR,8595,8787,6,6,0,0,013
service (adv),9007,9295,6,7,0,0,014
*SWITCH*,9561,9575,6,7,0,0,999
service (adv),9883,10287,6,8,0,0,015
service (adv),10606,10924,6,9,0,0,016
service (adv),11182,11458,6,10,0,0,017
service JOMR,11785,12013,7,10,0,0,018
service (adv),12320,12659,7,11,0,0,019
service JOMR,13645,14141,8,11,0,0,020
service (adv),14818,15194,8,12,0,0,021
*SWITCH*,15376,15401,8,12,0,0,999
Timeout,16098,16833,8,12,0,0,999
service JOMR,17174,17360,9,12,0,0,022
service (adv),17693,18045,9,13,0,0,023
service (adv),18327,18650,9,14,0,0,024
Timeout,19499,20305,9,14,0,0,999
service (adv),20509,20772,9,15,0,0,025
service JOMR,21161,21397,10,15,0,0,026
service JOMR,21844,22139,11,15,0,0,027
service (adv),22474,22812,11,16,0,0,028
*SWITCH*,23067,23089,11,16,0,0,999
service JOMR,23278,23740,12,16,0,0,029
service JOMR,24097,24346,13,16,0,0,030
service JOMR,24710,25033,14,16,0,0,031
service JOMR,24779,25033,15,16,0,0,032
service (adv),25408,25709,15,17,0,0,033
service (adv),25930,26037,15,18,0,0,034
service JOMR,26249,26477,16,18,0,0,035
service JOMR,26727,26912,17,18,0,0,036
service (adv),27388,27623,17,19,0,0,037
service (adv),27937,28197,17,20,0,0,038
end of set,0,0,17,21,0,1,999
set start - service JOMR,31378,31619,0,0,0,1,039
service (adv),31905,32323,0,1,0,1,040
service JOMR,32600,32798,1,1,0,1,041
service JOMR,33102,33448,2,1,0,1,042
service (adv),33661,33927,2,2,0,1,043
service (adv),34619,35055,2,3,0,1,044
service (adv),35367,35646,2,4,0,1,045
*SWITCH*,35719,35741,2,4,0,1,999
service (adv),36269,36665,2,5,0,1,046
service (adv),36931,37236,2,6,0,1,047
service (adv),37578,38108,2,7,0,1,048
Timeout,38419,39821,2,7,0,1,999
service (adv),40060,40433,2,8,0,1,049
service JOMR,41002,41287,3,8,0,1,050
service JOMR,41587,42085,4,8,0,1,051
service JOMR,42425,42791,5,8,0,1,052
*SWITCH*,43030,43084,5,8,0,1,999
service (adv),43400,43849,5,9,0,1,053
service (adv),44218,44519,5,10,0,1,054
service JOMR,44946,45336,6,10,0,1,055
service (adv),45730,46063,6,11,0,1,056
service (adv),46329,46643,6,12,0,1,057
service (adv),47425,47722,6,13,0,1,058
service JOMR,48189,48555,7,13,0,1,059
Timeout,49105,49853,7,13,0,1,999
*SWITCH*,50087,50111,7,13,0,1,999
service JOMR,50423,50753,8,13,0,1,060
service JOMR,51105,51375,9,13,0,1,061
service JOMR,51861,52121,10,13,0,1,062
service JOMR,52477,52755,11,13,0,1,063
service JOMR,53010,53395,12,13,0,1,064
service (adv),53686,53989,12,14,0,1,065
service JOMR,54378,54565,13,14,0,1,066
*SWITCH*,54971,55028,13,14,0,1,999
service (adv),55394,55699,13,15,0,1,067
service (adv),56198,56370,13,16,0,1,068
service JOMR,56777,57372,14,16,0,1,069
service (adv),57942,58203,14,17,0,1,070
service (adv),58615,58894,14,18,0,1,071
service (adv),59397,59796,14,19,0,1,072
service (adv),60109,60235,14,20,0,1,073
*SWITCH*,60374,60394,14,20,0,1,999
service JOMR,60864,61364,15,20,0,1,074
end of set,0,0,15,21,0,2,999
