service_side,start_frame,end_frame,JOMR_score,MyH_HeR_score,JOMR_sets,MyH_HeR_sets,point_index
match start - service MyH_HeR,33,195,0,0,0,0,001
service JOMR,441,700,1,0,0,0,002
service MyH_HeR,1185,1393,1,1,0,0,003
service JOMR,1782,2012,2,1,0,0,004
service MyH_HeR,2462,2769,2,2,0,0,005
*SWITCH*,2887,3153,2,2,0,0,999
service JOMR,3264,3652,3,2,0,0,006
service JOMR,4015,4224,4,2,0,0,007
service JOMR,4523,4787,5,2,0,0,008
service JOMR,5094,5630,6,2,0,0,009
service JOMR,6249,6485,7,2,0,0,010
*SWITCH*,6636,6924,7,2,0,0,999
service JOMR,7053,7211,8,2,0,0,011
service MyH_HeR,7631,7864,8,3,0,0,012
service JOMR,8319,8709,9,3,0,0,013
service JOMR,9076,9411,10,3,0,0,014
service MyH_HeR,9799,10082,10,4,0,0,015
*SWITCH*,10302,10485,10,4,0,0,999
service MyH_HeR,10747,11480,10,5,0,0,016
service JOMR,11826,12137,11,5,0,0,017
service MyH_HeR,12502,12668,11,6,0,0,018
service MyH_HeR,12959,13180,11,7,0,0,019
service MyH_HeR,13392,13653,11,8,0,0,020
*SWITCH*,13835,13967,11,8,0,0,999
Timeout,14297,15709,11,8,0,0,999
service JOMR,15972,16128,12,8,0,0,021
service MyH_HeR,16400,16593,12,9,0,0,022
service JOMR,16844,17109,13,9,0,0,023
service JOMR,17355,17866,14,9,0,0,024
end of set,0,0,15,9,1,0,999
set start - service JOMR,20428,20774,0,0,1,0,025
service JOMR,21057,21500,1,0,1,0,026
service JOMR,21898,22156,2,0,1,0,027
service JOMR,22481,22699,3,0,1,0,028
service MyH_HeR,23100,23408,3,1,1,0,029
*SWITCH*,23615,23835,3,1,1,0,999
service JOMR,23983,24070,4,1,1,0,030
service MyH_HeR,24475,24708,4,2,1,0,031
service JOMR,25273,25604,5,2,1,0,032
service MyH_HeR,26160,26342,5,3,1,0,033
service MyH_HeR,26702,26992,5,4,1,0,034
*SWITCH*,27221,27520,5,4,1,0,999
service JOMR,27640,28049,6,4,1,0,035
service JOMR,28406,28754,7,4,1,0,036
service MyH_HeR,29139,29302,7,5,1,0,037
service JOMR,29607,29814,8,5,1,0,038
service JOMR,30127,30433,9,5,1,0,039
*SWITCH*,30706,30926,9,5,1,0,999
service MyH_HeR,31126,31387,9,6,1,0,040
service JOMR,31831,32049,10,6,1,0,041
service JOMR,32298,32503,11,6,1,0,042
Timeout,32750,33865,11,6,1,0,999
service JOMR,34125,34468,12,6,1,0,043
service MyH_HeR,34919,35227,12,7,1,0,044
*SWITCH*,35461,35756,12,7,1,0,999
service JOMR,35831,36414,13,7,1,0,045
service JOMR,36898,37165,14,7,1,0,046
end of set,0,0,15,7,2,0,999
