service_side,start_frame,end_frame,JOMR_score,CloD_CirM_score,JOMR_sets,CloD_CirM_sets,point_index
match start - service CloD_CirM,48,227,0,0,0,0,001
service CloD_CirM,542,776,0,1,0,0,002
service JOMR,1134,1429,1,1,0,0,003
service CloD_CirM,1789,1927,1,2,0,0,004
service JOMR,2157,2334,2,2,0,0,005
service CloD_CirM,2585,2727,2,3,0,0,006
service CloD_CirM,2885,3073,2,4,0,0,007
*SWITCH*,3140,3375,2,4,0,0,999
service CloD_CirM,3406,3599,2,5,0,0,008
service CloD_CirM,3905,4160,2,6,0,0,009
service JOMR,4413,4649,3,6,0,0,010
service JOMR,4788,5147,4,6,0,0,011
service CloD_CirM,5450,5572,4,7,0,0,012
service JOMR,5729,5804,5,7,0,0,013
*SWITCH*,5913,6085,5,7,0,0,999
service CloD_CirM,6106,6205,5,8,0,0,014
service JOMR,6311,6450,6,8,0,0,015
service CloD_CirM,6717,6828,6,9,0,0,016
service CloD_CirM,7090,7251,6,10,0,0,017
service JOMR,7544,7708,7,10,0,0,018
service JOMR,7932,8164,8,10,0,0,019
service JOMR,8408,8650,9,10,0,0,020
*SWITCH*,8830,9031,9,10,0,0,999
service JOMR,9598,9817,10,10,0,0,021
service CloD_CirM,10214,10356,10,11,0,0,022
service CloD_CirM,10606,10735,10,12,0,0,023
service JOMR,10954,11170,11,12,0,0,024
service CloD_CirM,11371,11487,11,13,0,0,025
service JOMR,11654,11840,12,13,0,0,026
service JOMR,12065,12155,13,13,0,0,027
*SWITCH*,12188,12368,13,13,0,0,999
service JOMR,12383,12609,14,13,0,0,028
service CloD_CirM,12888,13027,14,14,0,0,029
service JOMR,13213,13340,15,14,0,0,030
service JOMR,13479,13586,16,14,0,0,031
service CloD_CirM,13717,13841,16,15,0,0,032
service CloD_CirM,14397,14483,16,16,0,0,033
service JOMR,14656,14711,17,16,0,0,034
*SWITCH*,14777,14824,17,16,0,0,999
service CloD_CirM,15172,15273,17,17,0,0,035
service JOMR,15399,15710,18,17,0,0,036
Timeout,16097,17236,18,17,0,0,999
service JOMR,17387,17552,19,17,0,0,037
*SWITCH*,17620,17940,19,17,0,0,999
end of set,0,0,20,17,1,0,999
