service_side,start_frame,end_frame,JOMR_score,MaDK_LuDK_score,JOMR_sets,MaDK_LuDK_sets,point_index
match start - service MaDK_LuDK,40,135,0,0,0,0,001
service JOMR,350,573,1,0,0,0,002
service MaDK_LuDK,831,1316,1,1,0,0,003
service JOMR,1627,1913,2,1,0,0,004
service JOMR,2238,2375,3,1,0,0,005
service MaDK_LuDK,2544,2792,3,2,0,0,006
service JOMR,2992,3148,4,2,0,0,007
*SWITCH*,3226,3749,4,2,0,0,999
service JOMR,3580,3749,5,2,0,0,008
service MaDK_LuDK,3967,4178,5,3,0,0,009
service MaDK_LuDK,4412,4843,5,4,0,0,010
service JOMR,5179,5316,6,4,0,0,011
service MaDK_LuDK,5526,5826,6,5,0,0,012
service JOMR,6084,6481,7,5,0,0,013
service MaDK_LuDK,6835,7118,7,6,0,0,014
*SWITCH*,7199,7431,7,6,0,0,999
service MaDK_LuDK,7471,7814,7,7,0,0,015
service MaDK_LuDK,8344,8720,7,8,0,0,016
service JOMR,9126,9269,8,8,0,0,017
service MaDK_LuDK,9533,9880,8,9,0,0,018
service MaDK_LuDK,10120,10575,8,10,0,0,019
service JOMR,10980,11315,9,10,0,0,020
service JOMR,11642,12074,10,10,0,0,021
*SWITCH*,12197,12338,10,10,0,0,999
service JOMR,12707,13032,11,10,0,0,022
service JOMR,13520,13958,12,10,0,0,023
service MaDK_LuDK,14379,14956,12,11,0,0,024
service MaDK_LuDK,15619,15797,12,12,0,0,025
service JOMR,16096,16524,13,12,0,0,026
service MaDK_LuDK,16846,17032,13,13,0,0,027
service JOMR,17289,17607,14,13,0,0,028
*SWITCH*,17750,18001,14,13,0,0,999
service JOMR,18165,18410,15,13,0,0,029
service JOMR,18776,18953,16,13,0,0,030
Timeout,19184,19794,16,13,0,0,999
service JOMR,20075,20405,17,13,0,0,031
service MaDK_LuDK,21019,21323,17,14,0,0,032
service JOMR,21713,22057,18,14,0,0,033
service MaDK_LuDK,22389,22693,18,15,0,0,034
service JOMR,23051,23476,19,15,0,0,035
*SWITCH*,23597,23935,19,15,0,0,999
service JOMR,24048,24301,20,15,0,0,036
service MaDK_LuDK,24528,24852,20,16,0,0,037
end of set,0,0,21,16,1,0,999
