service_side,start_frame,end_frame,JOMR_score,PauG_AleF_score,JOMR_sets,PauG_AleF_sets,point_index
match start - service JOMR,40,159,0,0,0,0,001
service PauG_AleF,468,689,0,1,0,0,002
service JOMR,1100,1243,1,1,0,0,003
service JOMR,1507,1778,2,1,0,0,004
service PauG_AleF,2147,2391,2,2,0,0,005
*SWITCH*,2683,2777,2,2,0,0,999
service JOMR,2986,3185,3,2,0,0,006
service JOMR,3471,3791,4,2,0,0,007
service PauG_AleF,4216,4482,4,3,0,0,008
service JOMR,5134,5705,5,3,0,0,009
service PauG_AleF,6250,6647,5,4,0,0,010
*SWITCH*,6871,7212,5,4,0,0,999
service JOMR,7543,7684,6,4,0,0,011
service PauG_AleF,8053,8321,6,5,0,0,012
service PauG_AleF,8937,9067,6,6,0,0,013
service JOMR,9308,9476,7,6,0,0,014
service JOMR,9836,10174,8,6,0,0,015
*SWITCH*,10300,10564,8,6,0,0,999
service JOMR,10765,11120,9,6,0,0,016
Timeout,11658,12902,9,6,0,0,999
service JOMR,13365,13568,10,6,0,0,017
service JOMR,13861,14106,11,6,0,0,018
service PauG_AleF,14578,14736,11,7,0,0,019
service JOMR,14918,15209,12,7,0,0,020
*SWITCH*,15457,15782,12,7,0,0,999
service JOMR,15880,16173,13,7,0,0,021
service PauG_AleF,16478,16683,13,8,0,0,022
service PauG_AleF,16970,17324,13,9,0,0,023
service JOMR,17662,17840,14,9,0,0,024
service PauG_AleF,18107,18390,14,10,0,0,025
*SWITCH*,18632,18932,14,10,0,0,999
service PauG_AleF,18979,19188,14,11,0,0,026
end of set,0,0,15,11,1,0,999
set start - service PauG_AleF,21631,21815,0,0,1,0,027
service JOMR,22033,22313,1,0,1,0,028
service JOMR,22573,22847,2,0,1,0,029
service PauG_AleF,23268,23464,2,1,1,0,030
service JOMR,23730,24204,3,1,1,0,031
*SWITCH*,24390,24646,3,1,1,0,999
service JOMR,24780,25054,4,1,1,0,032
service PauG_AleF,25567,26187,4,2,1,0,033
service JOMR,26811,26992,5,2,1,0,034
service PauG_AleF,27293,27895,5,3,1,0,035
service JOMR,28340,29052,6,3,1,0,036
*SWITCH*,29337,29606,6,3,1,0,999
service JOMR,29854,30415,7,3,1,0,037
service JOMR,31083,31491,8,3,1,0,038
service JOMR,32148,32312,9,3,1,0,039
Timeout,32764,33645,9,3,1,0,999
service JOMR,34387,34729,10,3,1,0,040
service PauG_AleF,35324,35643,10,4,1,0,041
*SWITCH*,35932,36386,10,4,1,0,999
service PauG_AleF,36449,36900,10,5,1,0,042
service PauG_AleF,37228,37985,10,6,1,0,043
service JOMR,38616,38987,11,6,1,0,044
service JOMR,39474,39776,12,6,1,0,045
service PauG_AleF,40169,40443,12,7,1,0,046
*SWITCH*,40693,41233,12,7,1,0,999
service JOMR,41281,41729,13,7,1,0,047
service JOMR,42432,42743,14,7,1,0,048
end of set,0,0,15,7,2,0,999
