service_side,start_frame,end_frame,JOMR_score,AlyO_AgR_score,JOMR_sets,AlyO_AgR_sets,point_index
match start - service JOMR,58,343,0,0,0,0,001
service AlyO_AgR,721,892,0,1,0,0,002
service AlyO_AgR,1222,1444,0,2,0,0,003
service AlyO_AgR,1770,1943,0,3,0,0,004
service JOMR,2234,2503,1,3,0,0,005
service AlyO_AgR,2874,3447,1,4,0,0,006
service AlyO_AgR,3823,4620,1,5,0,0,007
*SWITCH*,4926,5379,1,5,0,0,999
service AlyO_AgR,5541,6051,1,6,0,0,008
Timeout,6554,7978,1,6,0,0,999
service AlyO_AgR,8254,8437,1,7,0,0,009
service JOMR,8741,8902,2,7,0,0,010
service AlyO_AgR,9172,9676,2,8,0,0,011
service AlyO_AgR,10063,10332,2,9,0,0,012
service JOMR,10710,10884,3,9,0,0,013
service AlyO_AgR,11146,11435,3,10,0,0,014
*SWITCH*,11640,11930,3,10,0,0,999
service AlyO_AgR,11995,12189,3,11,0,0,015
service JOMR,12421,12700,4,11,0,0,016
service JOMR,13118,13418,5,11,0,0,017
service AlyO_AgR,13854,14357,5,12,0,0,018
service JOMR,14823,15080,6,12,0,0,019
service AlyO_AgR,15437,15864,6,13,0,0,020
service JOMR,16433,16738,7,13,0,0,021
*SWITCH*,16846,17396,7,13,0,0,999
service JOMR,18633,18882,8,13,0,0,022
service JOMR,19153,19343,9,13,0,0,023
service AlyO_AgR,19759,20005,9,14,0,0,024
service AlyO_AgR,20390,20737,9,15,0,0,025
service AlyO_AgR,21132,21425,9,16,0,0,026
service AlyO_AgR,21870,22251,9,17,0,0,027
service AlyO_AgR,22671,23168,9,18,0,0,028
*SWITCH*,23468,23622,9,18,0,0,999
service AlyO_AgR,23756,23933,9,19,0,0,029
service AlyO_AgR,24252,24848,9,20,0,0,030
end of set,0,0,9,21,0,1,999
set start - service AlyO_AgR,27274,27521,0,0,0,1,031
service AlyO_AgR,27871,28164,0,1,0,1,032
service JOMR,28444,28655,1,1,0,1,033
service JOMR,29004,29188,2,1,0,1,034
service AlyO_AgR,29487,29992,2,2,0,1,035
service JOMR,30463,30741,3,2,0,1,036
service AlyO_AgR,31119,31369,3,3,0,1,037
*SWITCH*,31521,31811,3,3,0,1,999
service JOMR,31873,32163,4,3,0,1,038
service AlyO_AgR,32532,32814,4,4,0,1,039
service AlyO_AgR,33324,33594,4,5,0,1,040
service JOMR,34036,34213,5,5,0,1,041
service AlyO_AgR,34473,34728,5,6,0,1,042
service JOMR,34956,35216,6,6,0,1,043
service JOMR,35593,35977,7,6,0,1,044
*SWITCH*,36157,36396,7,6,0,1,999
service AlyO_AgR,36691,37109,7,7,0,1,045
service AlyO_AgR,38379,38683,7,8,0,1,046
service AlyO_AgR,38874,39120,7,9,0,1,047
service JOMR,39518,39973,8,9,0,1,048
service JOMR,40479,40729,9,9,0,1,049
service AlyO_AgR,40970,41585,9,10,0,1,050
service JOMR,42065,42230,10,10,0,1,051
Timeout,42927,43204,10,10,0,1,999
*SWITCH*,43750,43850,10,10,0,1,999
service AlyO_AgR,44289,44608,10,11,0,1,052
service JOMR,45005,46261,11,11,0,1,053
service JOMR,46500,46848,12,11,0,1,054
service AlyO_AgR,47208,47524,12,12,0,1,055
service AlyO_AgR,47964,48243,12,13,0,1,056
service AlyO_AgR,48772,48995,12,14,0,1,057
service JOMR,49217,49653,13,14,0,1,058
*SWITCH*,49825,49912,13,14,0,1,999
service JOMR,50225,50858,14,14,0,1,059
service AlyO_AgR,51502,52048,14,15,0,1,060
service AlyO_AgR,52442,52751,14,16,0,1,061
service AlyO_AgR,53359,53765,14,17,0,1,062
Timeout,54129,55596,14,17,0,1,999
service AlyO_AgR,55950,56644,14,18,0,1,063
service AlyO_AgR,57286,57660,14,19,0,1,064
service JOMR,58001,58644,15,19,0,1,065
*SWITCH*,58922,59046,15,19,0,1,999
service AlyO_AgR,59256,59498,15,20,0,1,066
service JOMR,59938,60343,16,20,0,1,067
end of set,0,0,16,21,0,2,999
