service_side,start_frame,end_frame,JOMR_score,MaMeB_MarS_score,JOMR_sets,MaMeB_MarS_sets,point_index
match start - service JOMR,36,244,0,0,0,0,1
service JOMR,494,719,1,0,0,0,2
service JOMR,1011,1434,2,0,0,0,3
service JOMR,1776,2099,3,0,0,0,4
service MaMeB_MarS,2621,2894,3,1,0,0,5
service JOMR,3171,3595,4,1,0,0,6
service JOMR,4067,4225,5,1,0,0,7
*SWITCH*,4261,4526,5,1,0,0,
service MaMeB_MarS,4664,5310,5,2,0,0,8
service MaMeB_MarS,5741,6132,5,3,0,0,9
service JOMR,6611,6852,6,3,0,0,10
service JOMR,7103,7314,7,3,0,0,11
service MaMeB_MarS,7733,8086,7,4,0,0,12
service MaMeB_MarS,8357,8679,7,5,0,0,13
service MaMeB_MarS,9028,9319,7,6,0,0,14
*SWITCH*,9393,9843,7,6,0,0,
service MaMeB_MarS,9921,10392,7,7,0,0,15
service MaMeB_MarS,10729,11032,7,8,0,0,16
service JOMR,11393,11799,8,8,0,0,17
service JOMR,12078,12585,9,8,0,0,18
service JOMR,12916,13133,10,8,0,0,19
service JOMR,13409,13687,11,8,0,0,20
service JOMR,13881,14399,12,8,0,0,21
*SWITCH*,14936,14996,12,8,0,0,
Timeout,15094,15913,12,8,0,0,
service JOMR,16357,16932,13,8,0,0,22
service MaMeB_MarS,17360,17539,13,9,0,0,23
service JOMR,17675,18227,14,9,0,0,24
service JOMR,18757,19004,15,9,0,0,25
service JOMR,19238,19458,16,9,0,0,26
service MaMeB_MarS,19638,20150,16,10,0,0,27
service MaMeB_MarS,20408,20610,16,11,0,0,28
*SWITCH*,20779,21088,16,11,0,0,
service MaMeB_MarS,21218,21483,16,12,0,0,29
service MaMeB_MarS,21714,22043,16,13,0,0,30
service JOMR,22255,22537,17,13,0,0,31
service MaMeB_MarS,23057,23484,17,14,0,0,32
service JOMR,23801,24195,18,14,0,0,33
service JOMR,24495,24729,19,14,0,0,34
service MaMeB_MarS,24972,25384,19,15,0,0,35
*SWITCH*,25523,25690,19,15,0,0,
service MaMeB_MarS,25786,26532,19,16,0,0,36
service JOMR,27572,27952,20,16,0,0,37
service MaMeB_MarS,28040,28460,20,17,0,0,38
end of set,0,0,21,17,1,0,
set start - service MaMeB_MarS,31168,31491,0,0,1,0,39
service MaMeB_MarS,31779,32031,0,1,1,0,40
service MaMeB_MarS,32289,33019,0,2,1,0,41
service MaMeB_MarS,33468,33832,0,3,1,0,42
Timeout,34289,35585,0,3,1,0,
service MaMeB_MarS,35724,35994,0,4,1,0,43
service JOMR,36275,36577,1,4,1,0,44
service MaMeB_MarS,37027,37278,1,5,1,0,45
*SWITCH*,37598,37639,1,5,1,0,
service MaMeB_MarS,37946,38501,1,6,1,0,46
service MaMeB_MarS,38923,39334,1,7,1,0,47
service MaMeB_MarS,39631,40150,1,8,1,0,48
service MaMeB_MarS,40494,40895,1,9,1,0,49
service JOMR,41183,41417,2,9,1,0,50
service MaMeB_MarS,41559,41905,2,10,1,0,51
service MaMeB_MarS,42123,42373,2,11,1,0,52
service JOMR,42917,43213,3,11,1,0,53
service JOMR,43436,43646,4,11,1,0,54
service MaMeB_MarS,43907,44329,4,12,1,0,55
service MaMeB_MarS,44709,45249,4,13,1,0,56
service JOMR,45573,45828,5,13,1,0,57
service JOMR,46075,46289,6,13,1,0,58
service MaMeB_MarS,46438,46712,6,14,1,0,59
Timeout,47180,48155,6,14,1,0,
*SWITCH*,48304,48506,6,14,1,0,
service JOMR,48836,49172,7,14,1,0,60
service MaMeB_MarS,49886,50290,7,15,1,0,61
service MaMeB_MarS,50725,50953,7,16,1,0,62
service MaMeB_MarS,51318,51601,7,17,1,0,63
service JOMR,52029,52352,8,17,1,0,64
service MaMeB_MarS,52693,52994,8,18,1,0,65
service JOMR,53278,53707,9,18,1,0,66
*SWITCH*,53985,54113,9,18,1,0,
service MaMeB_MarS,54402,54658,9,19,1,0,67
service JOMR,54876,55355,10,19,1,0,68
service JOMR,55609,55874,11,19,1,0,69
service JOMR,56131,56480,12,19,1,0,70
service MaMeB_MarS,56970,57269,12,20,1,0,71
service JOMR,57652,57871,13,20,1,0,72
service JOMR,58141,58395,14,20,1,0,73
end of set,0,0,14,21,1,1,
set start - service MaMeB_MarS,61120,61614,0,0,1,1,74
service JOMR,62032,62364,1,0,1,1,75
service JOMR,62650,62990,2,0,1,1,76
service MaMeB_MarS,63397,63775,2,1,1,1,77
service JOMR,64074,64400,3,1,1,1,78
*SWITCH*,64439,64683,3,1,1,1,
service JOMR,64801,65144,4,1,1,1,79
service JOMR,65336,65645,5,1,1,1,80
service JOMR,66033,66349,6,1,1,1,81
service MaMeB_MarS,66607,67013,6,2,1,1,82
service MaMeB_MarS,67503,67681,6,3,1,1,83
*SWITCH*,67804,68014,6,3,1,1,
service JOMR,68081,68338,7,3,1,1,84
service MaMeB_MarS,68515,68867,7,4,1,1,85
service MaMeB_MarS,69298,69550,7,5,1,1,86
service MaMeB_MarS,69911,70251,7,6,1,1,87
service JOMR,70554,70994,8,6,1,1,88
*SWITCH*,71414,71575,8,6,1,1,
service JOMR,71670,72084,9,6,1,1,89
service MaMeB_MarS,72321,72614,9,7,1,1,90
service JOMR,72899,73360,10,7,1,1,91
service MaMeB_MarS,73943,74188,10,8,1,1,92
service JOMR,74475,74757,11,8,1,1,93
*SWITCH*,74946,75242,11,8,1,1,
Timeout,75540,76643,11,8,1,1,
service JOMR,76758,77214,12,8,1,1,94
service MaMeB_MarS,77398,77633,12,9,1,1,95
service MaMeB_MarS,78006,78591,12,10,1,1,96
service MaMeB_MarS,78940,79555,12,11,1,1,97
service JOMR,80006,80276,13,11,1,1,98
