#GAME_ID,serie,stage,teamA,teamB,victoire,set1_score,set2_score,set3_score,set1_score_adv,set2_score_adv,set3_score_adv
JOMR_jan26_MBV_01,MBV_S2-250_F_jan26,poule,JOMR,NoG_AliP,JOMR,,,,,,
JOMR_jan26_MBV_02,MBV_S2-250_F_jan26,poule,JOMR,AleN_EmP,JOMR,,,,,,
JOMR_jan26_MBV_03,MBV_S2-250_F_jan26,demi,JOMR,PauG_NeCH,JOMR,,,,,,
JOMR_jan26_MBV_04,MBV_S2-250_F_jan26,finale,JOMR,AleM_LauA,AleM_LauA,,,,,,
JOMR_nov24_Leuven_01,Leuven_Int_F_nov24,barrage,JOMR,(adv),(adv),,,,,,
JOMR_nov25_BSD_01,BSD_S2-250_F_nov25,demi,JOMR,MyH_HeR,JOMR,,,,,,
JOMR_nov25_BSD_02,BSD_S2-250_F_nov25,finale,JOMR,KaE_EmD,JOMR,,,,,,
JOMR_nov25_MBV_01,MBV_S2-500_F_nov25,quart,JOMR,ClaM_MaMeB,ClaM_MaMeB,,,,,,
JOMR_nov25_MBV_02,MBV_S2-500_F_nov25,barrage,JOMR,CloD_CirM,JOMR,,,,,,
JOMR_nov25_MBV_03,MBV_S2-500_F_nov25,poule,JOMR,VerF_FloA,JOMR,,,,,,
JOMR_nov25_MBV_04,MBV_S2-500_F_nov25,poule,JOMR,CloD_CirM,JOMR,,,,,,
JOMR_oct25_SSA_01,SSA_S2-500_F_oct25,poule,JOMR,MaDK_LuDK,JOMR,,,,,,
JOMR_oct25_SSA_02,SSA_S2-500_F_oct25,poule,JOMR,MaMeB_MarS,JOMR,,,,,,
JOMR_oct25_SSA_03,SSA_S2-500_F_oct25,quart,JOMR,PauG_AleF,JOMR,,,,,,
JOMR_oct25_SSA_04,SSA_S2-500_F_oct25,demi,JOMR,AlyO_AgR,AlyO_AgR,,,,,,
JOMR_oct25_SSA_05,SSA_S2-500_F_oct25,pfinale,JOMR,MaMeB_MarS,JOMR,,,,,,
